command,amount used
check,72077
bird,32598
userscore,8028
hint,7443
skip,2913
song,1766
race,1603
leaderboard,1396
race start,876
info,589
help,398
streak,380
checksong,366
race view,331
race stop,296
session,283
send_as_bot,173
stats,162
session start,100
session stop,97
streak leaderboard,91
missed,71
frequency,71
session edit,63
goatsucker,60
set,58
list,57
export,56
ping,53
score,52
filters,52
wikipedia,47
custom,44
meme,43
hintsong,38
invite,37
cache,26
botinfo,20
test,16
taxon,14
skipsong,11
get_all,10
ignore,8
checkgoat,2
